"(PDH-CSV 4.0) (Eastern Standard Time)(300)","\\ELIXIR\Process(calc)\% Processor Time","\\ELIXIR\Process(calc)\IO Data Bytes/sec","\\ELIXIR\Process(calc)\IO Read Operations/sec","\\ELIXIR\Process(calc)\IO Write Operations/sec","\\ELIXIR\Process(calc)\Thread Count","\\ELIXIR\Process(calc)\Virtual Bytes"
"11/07/2013 20:09:22.299","0.40000000000000002","0","0","0","2","29552640"
"11/07/2013 20:09:27.306","0","0","0","0","2","29552640"
"11/07/2013 20:09:32.313","0","0","0","0","2","29552640"
"11/07/2013 20:09:37.320","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:09:42.328","0","0","0","0","2","29552640"
"11/07/2013 20:09:47.335","0","0","0","0","2","29552640"
"11/07/2013 20:09:52.342","0","0","0","0","2","29552640"
"11/07/2013 20:09:57.349","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:10:02.356","0","0","0","0","2","29552640"
"11/07/2013 20:10:07.364","0","0","0","0","2","29552640"
"11/07/2013 20:10:12.371","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:10:17.378","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:10:22.385","0","0","0","0","2","29552640"
"11/07/2013 20:10:27.392","0","0","0","0","2","29552640"
"11/07/2013 20:10:32.400","0.40000000000000002","0","0","0","2","29552640"
"11/07/2013 20:10:37.407","0","0","0","0","2","29552640"
"11/07/2013 20:10:42.414","0","0","0","0","2","29552640"
"11/07/2013 20:10:47.421","0","0","0","0","2","29552640"
"11/07/2013 20:10:52.428","0","0","0","0","2","29552640"
"11/07/2013 20:10:57.436","0","0","0","0","2","29552640"
"11/07/2013 20:11:02.443","0","0","0","0","2","29552640"
"11/07/2013 20:11:07.450","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:11:12.457","0","0","0","0","2","29552640"
"11/07/2013 20:11:17.464","0","0","0","0","2","29552640"
"11/07/2013 20:11:22.472","0","0","0","0","2","29552640"
"11/07/2013 20:11:27.479","0","0","0","0","2","29552640"
"11/07/2013 20:11:32.486","0","0","0","0","2","29552640"
"11/07/2013 20:11:37.493","0","0","0","0","2","29552640"
"11/07/2013 20:11:42.500","0","0","0","0","2","29552640"
"11/07/2013 20:11:47.508","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:11:52.515","0","0","0","0","2","29552640"
"11/07/2013 20:11:57.522","0","0","0","0","2","29552640"
"11/07/2013 20:12:02.529","0.40000000000000002","0","0","0","2","29552640"
"11/07/2013 20:12:07.536","0","0","0","0","2","29552640"
"11/07/2013 20:12:12.544","0","0","0","0","2","29552640"
"11/07/2013 20:12:17.551","0","0","0","0","2","29552640"
"11/07/2013 20:12:22.558","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:12:27.565","0","0","0","0","2","29552640"
"11/07/2013 20:12:32.572","0","0","0","0","2","29552640"
"11/07/2013 20:12:37.580","0","0","0","0","2","29552640"
"11/07/2013 20:12:42.587","0","0","0","0","2","29552640"
"11/07/2013 20:12:47.594","0","0","0","0","2","29552640"
"11/07/2013 20:12:52.601","0","0","0","0","2","29552640"
"11/07/2013 20:12:57.608","0","0","0","0","2","29552640"
"11/07/2013 20:13:02.616","0","0","0","0","2","29552640"
"11/07/2013 20:13:07.623","0","0","0","0","2","29552640"
"11/07/2013 20:13:12.630","0","0","0","0","2","29552640"
"11/07/2013 20:13:17.637","0","0","0","0","2","29552640"
"11/07/2013 20:13:22.644","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:13:27.652","0","0","0","0","2","29552640"
"11/07/2013 20:13:32.659","0.40000000000000002","0","0","0","2","29552640"
"11/07/2013 20:13:37.666","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:13:42.673","0","0","0","0","2","29552640"
"11/07/2013 20:13:47.680","0","0","0","0","2","29552640"
"11/07/2013 20:13:52.688","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:13:57.695","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:14:02.702","0","0","0","0","2","29552640"
"11/07/2013 20:14:07.709","0","0","0","0","2","29552640"
"11/07/2013 20:14:12.716","0","0","0","0","2","29552640"
"11/07/2013 20:14:17.724","0","0","0","0","2","29552640"
"11/07/2013 20:14:22.731","0","0","0","0","2","29552640"
"11/07/2013 20:14:27.738","0","0","0","0","2","29552640"
"11/07/2013 20:14:32.745","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:14:37.752","0","0","0","0","2","29552640"
"11/07/2013 20:14:42.760","0","0","0","0","2","29552640"
"11/07/2013 20:14:47.767","0","0","0","0","2","29552640"
"11/07/2013 20:14:52.774","0","0","0","0","2","29552640"
"11/07/2013 20:14:57.781","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:15:02.788","0","0","0","0","2","29552640"
"11/07/2013 20:15:07.796","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:15:12.803","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:15:17.810","0","0","0","0","2","29552640"
"11/07/2013 20:15:22.817","0","0","0","0","2","29552640"
"11/07/2013 20:15:27.824","0","0","0","0","2","29552640"
"11/07/2013 20:15:32.832","0","0","0","0","2","29552640"
"11/07/2013 20:15:37.839","0","0","0","0","2","29552640"
"11/07/2013 20:15:42.846","0","0","0","0","2","29552640"
"11/07/2013 20:15:47.853","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:15:52.860","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:15:57.868","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:16:02.875","0","0","0","0","2","29552640"
"11/07/2013 20:16:07.882","0","0","0","0","2","29552640"
"11/07/2013 20:16:12.889","0","0","0","0","2","29552640"
"11/07/2013 20:16:17.896","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:16:22.904","0","0","0","0","2","29552640"
"11/07/2013 20:16:27.911","0","0","0","0","2","29552640"
"11/07/2013 20:16:32.918","0","0","0","0","2","29552640"
"11/07/2013 20:16:37.925","0","0","0","0","2","29552640"
"11/07/2013 20:16:42.932","0","0","0","0","2","29552640"
"11/07/2013 20:16:47.940","0","0","0","0","2","29552640"
"11/07/2013 20:16:52.947","0","0","0","0","2","29552640"
"11/07/2013 20:16:57.954","0","0","0","0","2","29552640"
"11/07/2013 20:17:02.961","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:17:07.968","0","0","0","0","2","29552640"
"11/07/2013 20:17:12.976","0","0","0","0","2","29552640"
"11/07/2013 20:17:17.983","0","0","0","0","2","29552640"
"11/07/2013 20:17:22.990","0","0","0","0","2","29552640"
"11/07/2013 20:17:27.997","0","0","0","0","2","29552640"
"11/07/2013 20:17:33.004","0","0","0","0","2","29552640"
"11/07/2013 20:17:38.012","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:17:43.019","0","0","0","0","2","29552640"
"11/07/2013 20:17:48.026","0","0","0","0","2","29552640"
"11/07/2013 20:17:53.033","0","0","0","0","2","29552640"
"11/07/2013 20:17:58.040","0","0","0","0","2","29552640"
"11/07/2013 20:18:03.048","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 20:18:08.055","0","0","0","0","2","29552640"
"11/07/2013 20:18:13.062","0","0","0","0","2","29552640"
"11/07/2013 20:18:18.069","0","0","0","0","2","29552640"
"11/07/2013 20:18:23.076","0","0","0","0","2","29552640"
"11/07/2013 20:18:28.084","0","0","0","0","2","29552640"
"11/07/2013 20:18:33.091","0","0","0","0","2","29552640"
